CDR,Exudate_Pixel,Label
0.428,6828,1
0.0114,595,1
0.011,275,1
0.3265,5228,1
0.548,8969,1
0.5709,5247,1
0.3745,3934,1
0.4596,1292,1
0.3757,1978,1
0.7119,6757,1
0.1593,10360,1
0.2796,13577,1
0.7193,11410,1
0.1612,12144,1
0.0873,6735,1
0.2136,9982,1
0.4624,13071,1
0.4313,9249,1
0.3388,10066,1
0.3957,14019,1
0.4444,12561,1
0.2857,12948,1
0.4589,14487,1
0.4133,9432,1
0.302,8589,1
0.4605,10230,1
0.0546,9325,1
0.1318,13699,1
0.1383,11239,1
0.1385,11939,1
0.0896,10283,1
0.3951,11288,1
0.339,7284,1
0.3617,15378,1
0.1732,7830,1
0.2754,18307,1
0.4302,10541,1
0.2889,8225,1
0.2461,14201,1
0.2412,8216,1
0.5268,8907,1
0.4444,7801,1
0.2878,7654,1
0.1981,12096,1
0.1982,12693,1
0.366,7570,1
0.6327,8803,1
0.0567,18374,1
0.1893,16424,1
0.3445,8295,1
0.1968,13565,1
0.2776,13191,1
0.739,4876,1
0.2892,9598,1
0.0537,7158,1
0.6075,9942,1
0.232,20853,1
0.2689,12269,1
0.6156,7115,1
0.114,10711,1
0.2316,14624,1
0.0578,7758,1
0.0424,7713,1
0.4217,13000,1
0.3104,10873,1
0.3483,15136,1
0.6092,11880,1
0.1996,14887,1
0.1837,8408,1
0.1817,10568,1
0.3815,10858,1
0.4005,15152,1
0.2549,8079,1
0.2204,8564,1
0.6107,9141,1
0.1569,12351,1
0.196,16617,1
0.0944,11553,1
0.3777,13555,1
0.1018,13859,1
0.079,6984,1
0.6148,8679,1
0.1751,7681,1
0.3225,10070,1
0.4444,8164,1
0.1055,12711,1
0.513,9272,1
0.2699,7507,1
0.2046,10686,1
0.7041,11713,1
0.3523,15748,1
0.2651,7905,1
0.1262,9878,1
0.177,14440,1
0.2385,7676,1
0.3233,7079,1
0.4649,7250,1
0.3529,6937,1
0.1521,8309,1
0.2571,2237,1
0.2411,12644,1
0.0379,10956,1
0.0947,7073,1
0.1449,9675,1
0.7115,6854,1
0.3531,2414,1
0.6449,1536,1
0.6346,1957,1
0.7193,5691,1
0.4119,4595,1
0.8264,1438,1
0.7287,3353,1
0.6173,4982,1
0.2811,2404,1
0.3164,7186,1
0.5256,6192,1
0.7034,5775,1
0.346,14420,1
0.6183,6780,1
0.7034,5775,1
0.5557,4657,1
0.1942,4243,1
0.7104,5069,1
0.2351,7430,1
0.2284,1399,1
0.2536,6218,1
0.7104,5069,1
0.3989,6402,1
0.6143,2167,1
0.4293,6012,1
0.4444,3403,1
0.4444,2383,1
0.2364,12214,1
0.3007,8567,1
0.8434,2504,1
0.2206,4279,1
0.5325,3393,1
0.4311,13335,1
0.4738,14676,1
0.3253,6458,1
0.1314,794,1
0.1086,157,1
0.6188,16526,1
0.25,1458,1
0.2151,4532,1
0.5077,4342,1
0.3306,4569,1
0.2073,4203,1
0.2542,3498,1
0.3673,10546,1
0.5166,4320,1
0.64,6801,1
0.7119,1357,1
0.216,5888,1
0.5476,1083,1
0.3287,2061,1
0.4878,2759,1
0.1259,3610,1
0.2756,1433,1
0.3287,2061,1
0.3971,7519,1
0.8158,355,1
0.4171,4109,1
0.5253,6474,1
0.2066,1453,1
0.5052,8043,1
0.4263,4656,1
0.1047,16836,1
0.143,12271,1
0.626,10242,1
0.0821,11794,1
0.0874,14193,1
0.1355,10169,1
0.2244,9135,1
0.1991,10230,1
0.8125,6958,1
0.2268,10112,1
0.2141,9525,1
0.1479,6362,1
0.2188,12141,1
0.0935,11699,1
0.4952,10711,1
0.2442,8729,1
0.2865,16305,1
0.2395,5157,1
0.2929,8825,1
0.2532,11703,1
0.3062,13587,1
0.0513,10981,1
0.2018,10166,1
0.1036,8839,1
0.2722,11119,1
0.09,8680,1
0.3225,16401,1
0.7091,11821,1
0.2244,8332,1
0.0799,9528,1
0.3123,15581,1
0.1567,6965,1
0.1174,15150,1
0.2275,13566,1
0.143,15392,1
0.3765,7652,1
0.3315,8747,1
0.1164,16429,1
0.5289,9073,1
0.2922,8005,1
0.2359,18004,1
0.4556,9867,1
0.4261,8247,1
0.2308,10860,1
0.1017,9070,1
0.4391,9938,1
0.409,12440,1
0.25,9319,1
0.6125,10374,1
0.4756,8946,1
0.2627,8835,1
0.64,3428,1
0.2922,7992,1
0.0378,7051,1
0.0963,13654,1
0.2782,8954,1
0.6213,13554,1
0.4198,14009,1
0.3289,9575,1
0.0568,13975,1
0.3285,10243,1
0.1223,19349,1
0.0286,7492,1
0.0064,6537,1
0.2173,8372,1
0.065,7279,1
0.4217,11018,1
0.5189,14820,1
0.4196,8827,1
0.4153,7268,1
0.5268,7364,1
0.3306,9347,1
0.4157,12114,1
0.1518,7992,1
0.1125,15726,1
0.1029,9608,1
0.2001,13601,1
0.3174,9074,1
0.3872,8199,1
0.5053,9482,1
0.25,11861,1
0.3403,8748,1
0.5625,7512,1
0.3971,7892,1
0.2442,10889,1
0.0847,7480,1
0.2139,9849,1
0.2694,16144,1
0.4689,14779,1
0.1362,15273,1
0.2044,9447,1
0.1053,8048,1
0.6133,12289,1
0.1228,8414,1
0.8006,7844,1
0.0598,9953,1
0.2206,7430,1
0.2565,7864,1
0.1523,7583,1
0.5102,10667,1
0.2158,10760,1
0.209,8828,1
0.405,8849,1
0.4548,9353,1
0.4088,7878,1
0.4158,16364,1
0.0354,7196,1
0.2351,7544,1
0.7494,3364,1
0.5747,7906,1
0.2942,8584,1
0.8622,4961,1
0.464,4119,1
0.6049,3153,1
0.8403,5186,1
0.8346,5593,1
0.3467,969,1
0.405,3555,1
0.5625,1154,1
0.5308,4208,1
0.4582,6431,1
0.7225,7628,1
0.4876,9710,1
0.5526,6592,1
0.7235,3386,1
0.3679,3787,1
0.4746,4298,1
0.4921,4956,1
0.5831,2580,1
0.6119,6437,1
0.5656,6631,1
